27.374188040680917, -82.45310946613992
27.374207999964256, -82.45309571332056
27.374144999953074, -82.45314627858147
27.37404999996192, -82.4531344296593
27.3739529999719, -82.45311906661247
27.373913999982708, -82.45307467902117
27.373786999044746, -82.4529018512426
27.373769012530413, -82.45274994322872      
27.373786999049496, -82.45295248724723
27.37375999999859, -82.45284187969057       
27.373859999995094, -82.45285912634309       
27.374000999998586, -82.45284187973387       
27.37402499999859, -82.45284187973817        
27.374024999991, -82.4528722614063           
27.374000999990997, -82.4528722613954        
27.373859999995094, -82.45285912634309       
27.37375999999509, -82.45285912630953       
27.373859999995094, -82.45285912634309       
27.374000999990997, -82.4528722613954        
27.374024999991, -82.4528722614063           
27.374077999994654, -82.45296573664541       
27.374174999986913, -82.45298761151007      
27.374204999994653, -82.45296573668988       
27.374274999994654, -82.45296573671438       
